Class,Type,Alt Class,Captured Class,Walk Speed (miles/hr),Run Speed (miles/hr),Uniform 1,Uniform 2,Uniform 3,Uniform 4,Uniform 5,Uniform 6,Walk Sound,Stand Sound,Load Sound,Ram Sound,Fire Sound,Run Sound,Charge Sound,Melee Sound,Prone Sound,Flag Bearer Sprite,GUI,Friendly GUI,Enemy GUI,Fighting Formation,Walk Formation
UGLB_CSA_Objective_Wagon,4,UGLB_USA_Objective_Wagon,,4,4,USPR_CSA_TRANS_Wagon,USPR_TRANS_Mules,,,,,SFX_Wagon_Walk_1,SFX_Wagon_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Wagon_Run_2,SFX_Wagon_Run_2,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_TRANS_Mules,GUI_CS_Wagon,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_SupplyWagon,DRIL_SupplyWagon
UGLB_CSA_Objective_Holder,3,,,6,15,USPR_CSA_Cdr_02,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_CSA_Cav_01,GUI_CS_LVL5_Art,GUI_CS_LVL5_Friendly,GUI_CS_LVL5_Enemy,DRIL_Lvl5_Art_Line,DRIL_Lvl5_Art_Column
,,,,,,,,,,,,,,,,,,,,,,,,,,
UGLB_USA_Wagon_Fast,4,UGLB_CSA_Wagon_Fast,,4,4,USPR_USA_TRANS_Wagon,USPR_TRANS_Mules,,,,,SFX_Wagon_Walk_1,SFX_Wagon_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Wagon_Run_1,SFX_Wagon_Run_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_TRANS_Mules,GUI_US_Wagon,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_SupplyWagon,DRIL_SupplyWagon
UGLB_USA_Wagon_Medium,4,UGLB_CSA_Wagon_Medium,,3,3,USPR_USA_TRANS_Wagon,USPR_TRANS_Mules,,,,,SFX_Wagon_Walk_1,SFX_Wagon_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Wagon_Run_1,SFX_Wagon_Run_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_TRANS_Mules,GUI_US_Wagon,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_SupplyWagon,DRIL_SupplyWagon
UGLB_USA_Wagon_Slow,4,UGLB_CSA_Wagon_Slow,,2,2,USPR_USA_TRANS_Wagon,USPR_TRANS_Mules,,,,,SFX_Wagon_Walk_1,SFX_Wagon_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Wagon_Run_1,SFX_Wagon_Run_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_TRANS_Mules,GUI_US_Wagon,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_SupplyWagon,DRIL_SupplyWagon
UGLB_USA_Wagon_Slowest,4,UGLB_CSA_Wagon_Slowest,,1,1,USPR_USA_TRANS_Wagon,USPR_TRANS_Mules,,,,,SFX_Wagon_Walk_1,SFX_Wagon_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Wagon_Run_1,SFX_Wagon_Run_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_TRANS_Mules,GUI_US_Wagon,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_SupplyWagon,DRIL_SupplyWagon
UGLB_USA_Wagon_Immobile,4,UGLB_CSA_Wagon_Immobile,,0,0,USPR_USA_TRANS_Wagon,USPR_TRANS_Mules,,,,,SFX_Wagon_Walk_1,SFX_Wagon_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Wagon_Run_1,SFX_Wagon_Run_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_TRANS_Mules,GUI_US_Wagon,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_SupplyWagon,DRIL_SupplyWagon
,,,,,,,,,,,,,,,,,,,,,,,,,,
UGLB_CSA_Wagon_Fast,4,UGLB_USA_Wagon_Fast,,4,4,USPR_CSA_TRANS_Wagon,USPR_TRANS_Mules,,,,,SFX_Wagon_Walk_1,SFX_Wagon_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Wagon_Run_2,SFX_Wagon_Run_2,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_TRANS_Mules,GUI_CS_Wagon,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_SupplyWagon,DRIL_SupplyWagon
UGLB_CSA_Wagon_Medium,4,UGLB_USA_Wagon_Medium,,3,3,USPR_CSA_TRANS_Wagon,USPR_TRANS_Mules,,,,,SFX_Wagon_Walk_1,SFX_Wagon_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Wagon_Run_2,SFX_Wagon_Run_2,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_TRANS_Mules,GUI_CS_Wagon,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_SupplyWagon,DRIL_SupplyWagon
UGLB_CSA_Wagon_Slow,4,UGLB_USA_Wagon_Slow,,2,2,USPR_CSA_TRANS_Wagon,USPR_TRANS_Mules,,,,,SFX_Wagon_Walk_1,SFX_Wagon_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Wagon_Run_2,SFX_Wagon_Run_2,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_TRANS_Mules,GUI_CS_Wagon,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_SupplyWagon,DRIL_SupplyWagon
UGLB_CSA_Wagon_Slowest,4,UGLB_USA_Wagon_Slowest,,1,1,USPR_CSA_TRANS_Wagon,USPR_TRANS_Mules,,,,,SFX_Wagon_Walk_1,SFX_Wagon_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Wagon_Run_2,SFX_Wagon_Run_2,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_TRANS_Mules,GUI_CS_Wagon,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_SupplyWagon,DRIL_SupplyWagon
UGLB_CSA_Wagon_Immobile,4,UGLB_USA_Wagon_Immobile,,0,0,USPR_CSA_TRANS_Wagon,USPR_TRANS_Mules,,,,,SFX_Wagon_Walk_1,SFX_Wagon_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Wagon_Run_2,SFX_Wagon_Run_2,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_TRANS_Mules,GUI_CS_Wagon,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_SupplyWagon,DRIL_SupplyWagon
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dismounted Cavalry,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UGLB_CSA_DCav_1,1,,,4,8,USPR_CSA_DCav_01,USPR_CSA_DCav_01,USPR_CSA_DCav_01_s,,,,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_2,SFX_Inf_Run_3,SFX_Inf_Charge_2,SFX_Inf_CSA_Melee_1,SFX_Cav_Prone_1,USPR_CSA_DCav_Cav_01_Dismounted,GUI_CS_LVL6_DCav,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Cav_SingleLine,DRIL_Lvl6_Inf_Column
UGLB_CSA_DCav_2,1,,,4,8,USPR_CSA_DCav_02,USPR_CSA_DCav_02,USPR_CSA_DCav_02_s,,,,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_2,SFX_Inf_Run_3,SFX_Inf_Charge_2,SFX_Inf_CSA_Melee_1,SFX_Cav_Prone_1,USPR_CSA_DCav_Cav_02_Dismounted,GUI_CS_LVL6_DCav,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Cav_SingleLine,DRIL_Lvl6_Inf_Column
UGLB_CSA_DCav_3,1,,,4,8,USPR_CSA_DCav_01,USPR_CSA_DCav_02,USPR_CSA_DCav_01_s,USPR_CSA_DCav_02_s,,,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_2,SFX_Inf_Run_3,SFX_Inf_Charge_2,SFX_Inf_CSA_Melee_1,SFX_Cav_Prone_1,USPR_CSA_DCav_Cav_01_Dismounted,GUI_CS_LVL6_DCav,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Cav_SingleLine,DRIL_Lvl6_Inf_Column
UGLB_CSA_DCav_4,1,,,4,8,USPR_CSA_DCav_02,USPR_CSA_DCav_01,USPR_CSA_DCav_02_s,USPR_CSA_DCav_01_s,,,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_2,SFX_Inf_Run_3,SFX_Inf_Charge_2,SFX_Inf_CSA_Melee_1,SFX_Cav_Prone_1,USPR_CSA_DCav_Cav_02_Dismounted,GUI_CS_LVL6_DCav,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Cav_SingleLine,DRIL_Lvl6_Inf_Column
,,,,,,,,,,,,,,,,,,,,,,,,,,
UGLB_USA_DCav_1,1,,,4,8,USPR_USA_DCav_01,USPR_USA_DCav_01,USPR_USA_DCav_01_s,,,,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_2,SFX_Inf_Run_3,SFX_Inf_Charge_2,SFX_Inf_USA_Melee_1,SFX_Cav_Prone_1,USPR_USA_DCav_Cav_01_Dismounted,GUI_US_LVL6_DCav,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Cav_SingleLine,DRIL_Lvl6_Inf_Column
UGLB_USA_DCav_2,1,,,4,8,USPR_USA_DCav_02,USPR_USA_DCav_02,USPR_USA_DCav_02_s,,,,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_2,SFX_Inf_Run_3,SFX_Inf_Charge_2,SFX_Inf_USA_Melee_1,SFX_Cav_Prone_1,USPR_USA_DCav_Cav_02_Dismounted,GUI_US_LVL6_DCav,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Cav_SingleLine,DRIL_Lvl6_Inf_Column
UGLB_USA_DCav_3,1,,,4,8,USPR_USA_DCav_01,USPR_USA_DCav_02,USPR_USA_DCav_01_s,USPR_USA_DCav_02_s,,,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_2,SFX_Inf_Run_3,SFX_Inf_Charge_2,SFX_Inf_USA_Melee_1,SFX_Cav_Prone_1,USPR_USA_DCav_Cav_01_Dismounted,GUI_US_LVL6_DCav,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Cav_SingleLine,DRIL_Lvl6_Inf_Column
UGLB_USA_DCav_4,1,,,4,8,USPR_USA_DCav_02,USPR_USA_DCav_01,USPR_USA_DCav_02_s,USPR_USA_DCav_01_s,,,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_2,SFX_Inf_Run_3,SFX_Inf_Charge_2,SFX_Inf_USA_Melee_1,SFX_Cav_Prone_1,USPR_USA_DCav_Cav_02_Dismounted,GUI_US_LVL6_DCav,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Cav_SingleLine,DRIL_Lvl6_Inf_Column
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UGLB_CSA_Cav_Cdr_Div_SL,1,,,4,15,USPR_CSA_Cdr_02,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_CSA_Cav_01,GUI_CS_LVL4_DCav,GUI_CS_LVL4_Friendly,GUI_CS_LVL4_Enemy,DRIL_Lvl4_Cav_Line2,DRIL_Lvl4_Inf_Column
UGLB_CSA_Cav_Cdr_Brig_SL,1,,,4,15,USPR_CSA_Cdr_01,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_CSA_Cav_01,GUI_CS_LVL5_DCav,GUI_CS_LVL5_Friendly,GUI_CS_LVL5_Enemy,DRIL_Lvl5_Cav_Line2,DRIL_Lvl5_Inf_RoadColumn
,,,,,,,,,,,,,,,,,,,,,,,,,,
UGLB_USA_Cav_Cdr_Div_SL,1,,,4,15,USPR_USA_Cdr_02,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_USA_Cav_01,GUI_US_LVL4_DCav,GUI_US_LVL4_Friendly,GUI_US_LVL4_Enemy,DRIL_Lvl4_Cav_Line2,DRIL_Lvl4_Inf_Column
UGLB_USA_Cav_Cdr_Brig_SL,1,,,4,15,USPR_USA_Cdr_01,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_USA_Cav_01,GUI_US_LVL5_DCav,GUI_US_LVL5_Friendly,GUI_US_LVL5_Enemy,DRIL_Lvl5_Cav_Line2,DRIL_Lvl5_Inf_RoadColumn
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZW MOD,,,,,,,,,,,,,,,,,,,,,,,,,
UGLB_BZ_Inf_1,1,,,4,8,USPR_BZ_Inf_01_Private_t,USPR_BZ_Inf_01_NCO,USPR_BZ_Inf_01_Private_s,USPR_BZ_Inf_01_Private,USPR_BZ_Inf_01_Private_s,USPR_BZ_Inf_01_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_2,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_1,USPR_BZ_Inf_01_Private_t,GUI_CS_LVL6_Inf,GUI_CS_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_BZ_Inf_2,1,,,4,8,USPR_BZ_Inf_01_Private_t,USPR_BZ_Inf_01_NCO,USPR_BZ_Inf_01_Private_s,USPR_BZ_Inf_01_Private,USPR_BZ_Inf_01_Private_s,USPR_BZ_Inf_01_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_2,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_2,USPR_BZ_Inf_01_Private_t,GUI_CS_LVL6_Inf,GUI_CS_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_BZ_Inf_3,1,,,4,8,USPR_BZ_Inf_01_Private_t,USPR_BZ_Inf_01_NCO,USPR_BZ_Inf_01_Private_s,USPR_BZ_Inf_01_Private,USPR_BZ_Inf_01_Private_s,USPR_BZ_Inf_01_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_2,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_3,USPR_BZ_Inf_01_Private_t,GUI_CS_LVL6_Inf,GUI_CS_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UGLB_CSA_Inf_GCM_Stonewall,1,,,4,8,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_01_Private_t,USPR_CSA_Inf_01_Private_s,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_06_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_2,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_1,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_Texas,1,,,4,8,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_02_Private_t,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_03_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_2,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_2,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UGLB_CSA_Inf_GCM_West_0,0,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,,,,UGLB_CSA_Inf_GCM_West_0,0,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_1,1,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,,,,UGLB_CSA_Inf_GCM_West_1,1,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_2,2,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_West_2,2,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_3,3,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_West_3,3,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_4,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,UGLB_CSA_Inf_GCM_West_4,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_5,5,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,UGLB_CSA_Inf_GCM_West_5,5,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_6,6,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,UGLB_CSA_Inf_GCM_West_6,6,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_7,7,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,UGLB_CSA_Inf_GCM_West_7,7,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_8,8,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_06_Private,,,,UGLB_CSA_Inf_GCM_West_8,8,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_06_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_9,9,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_West_9,9,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_Vet_0,0,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,,,,UGLB_CSA_Inf_GCM_West_Vet_0,0,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_Vet_1,1,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,,,,UGLB_CSA_Inf_GCM_West_Vet_1,1,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_Vet_2,2,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_West_Vet_2,2,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_Vet_3,3,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_West_Vet_3,3,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_Vet_4,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,UGLB_CSA_Inf_GCM_West_Vet_4,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_Vet_5,5,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,UGLB_CSA_Inf_GCM_West_Vet_5,5,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,
