UI Name,Graphic Name,loc x (across),loc y (down),Sticky (0/1/2),Button Sound,Unit Sound,Normal (across),Normal (down),Highlighted (across),Highlighted (down),gray (across),gray (down),Active (across),Active (down),mod left,mod top,mod right,mod bottom,func,func2,text,Special,Show Condition,Highlight Condition,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,790,683,,,,11,0,11,2,11,0,11,1,0,0,0,0,Astop,,Halt,,,,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,818,683,,,,12,0,12,2,12,0,12,1,0,0,0,0,Arun,,Double Quick (Run/Gallop),,,,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,846,683,,,,4,0,4,2,4,0,4,1,0,0,0,0,Amleftoblique,,Oblique Left,,,,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,874,683,,,,5,0,5,2,5,0,5,1,0,0,0,0,Amrightoblique,,Oblique Right,,,,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,939,683,,,,6,3,6,5,6,3,6,4,0,0,0,0,Aform:DRIL_Lvl5_Cav_LinewithReserves2,,Line with Reserves,,,#formnum == 30,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,967,683,,,,4,3,4,5,4,3,4,4,0,0,0,0,Aform:DRIL_Lvl5_Cav_ColumnbyDivision,,Column by Divisions,,,#formnum == 32,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,995,683,,,,5,3,5,5,5,3,5,4,13,0,0,0,Aform:DRIL_Lvl5_Cav_ColumninLine,,Column of Regiments in Line Hold Form,,,#formnum == 88,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,995,683,,,,5,3,5,5,5,3,5,4,0,0,-13,0,Aform:DRIL_Lvl5_Cav_ColumninLine,,Column of Regiments in Line,,,#formnum == 33,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,790,711,,,,9,0,9,2,9,0,9,1,0,0,0,0,Aonlymount,,Mount,,,,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,818,711,,SFX_UI_RiseUp,,8,0,8,2,8,0,8,1,0,0,0,0,Aonlydismount,,Dismount,,,,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,846,711,,,,13,0,13,2,13,0,13,1,0,0,0,0,Aforcepath,marchmusic,Use Roads,,,,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,874,711,,,,7,3,7,5,7,3,7,4,0,0,0,0,Aform:DRIL_Lvl5_Cav_RoadColumn,,Road Column,,,#formnum == 35,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,939,711,,,,0,6,0,8,0,6,0,7,0,0,0,0,takecommand,,Take Charge from AI,,,#takecomm == 1,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,967,711,,SFX_UI_RiseUp,,2,6,2,8,2,6,2,7,0,0,0,0,run,,Leader Double Quick (Gallop),,#regstate != 5,,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,967,711,,SFX_UI_RiseUp,,2,6,2,8,2,6,2,7,0,0,0,0,walk,,Leader Normal Speed (Walk),,#regstate == 5,#regstate == 5,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,995,711,,,,2,3,2,5,2,3,2,4,0,0,0,0,Aform:DRIL_Lvl5_Cav_Skirmish,,Skirmish,,,#formnum == 31,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,790,739,,,,0,9,0,11,0,9,0,10,0,0,0,0,Amoveformfwd:300:0,,Advance 300 Yards,,,,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,818,739,,,,1,9,1,11,1,9,1,10,0,0,0,0,Aadvance,,Advance,,,,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,846,739,,,,2,9,2,11,2,9,2,10,0,0,0,0,Afallback,,Fallback,,,,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,874,739,,,,3,9,3,11,3,9,3,10,0,0,0,0,Aretreat,,Retreat,,,,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,939,739,,SFX_UI_GotoSel,,4,6,4,8,4,6,4,7,0,0,0,0,gotosel,,Go to the Selected Unit,,,,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,967,739,,SFX_UI_RiseUp,,1,6,1,8,1,6,1,7,0,0,0,0,stop,,Leader Halt,,,#regstate == 1,,,,,,
GUI_LVL5_DCav_Combat,GFX_BS_Buttons,995,739,,,,3,6,3,8,3,6,3,7,0,0,0,0,forcepath,,Leader Use Roads,,,#useroads == 1,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,939,655,,,,9,6,9,8,9,6,9,7,0,0,0,0,attach,,Attach Brigade,,,#attached == 1,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,967,655,,SFX_UI_Click,,10,6,10,8,10,6,10,7,0,0,0,0,detach,,Detach Brigade,,,#attached == 0,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,995,655,,,,13,6,13,8,13,6,13,7,0,0,0,0,Aresupply,,Re-Supply,,,,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,818,683,,,,12,9,12,11,12,9,12,10,0,0,0,0,Aguard,,Select unit to Guard,,,,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,939,683,,,,11,6,11,8,11,6,11,7,0,0,0,0,joinbrig,,Attach Regiment,,,,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,967,683,,SFX_UI_Click,,12,6,12,8,12,6,12,7,0,0,0,0,splitbrig:1,,Detach Regiment,,,,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,995,683,,SFX_UI_Messenger,,6,6,6,8,6,6,6,7,0,0,0,0,loadscreen:SendCourier,,Send Message,,,,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,790,711,,,,4,9,4,11,4,9,4,10,0,0,0,0,orders:blitz,,All out Attack,,,#ordernum == 6,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,818,711,,SFX_UI_Click,,5,9,5,11,5,9,5,10,0,0,0,0,orders:attack,,Attack,,,#ordernum == 5,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,846,711,,SFX_UI_Click,,6,9,6,11,6,9,6,10,0,0,0,0,orders:probe,,Probe,,,#ordernum == 4,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,874,711,,,,7,9,7,11,7,9,7,10,0,0,0,0,orders:none,,None,,,#ordernum == 0,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,939,711,,,,0,6,0,8,0,6,0,7,0,0,0,0,takecommand,,Take Charge from AI,,,#takecomm == 1,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,995,711,,SFX_UI_Messenger,,7,6,7,8,7,6,7,7,0,0,0,0,loadscreen:MessageLog,,Read Messages,,,,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,790,739,,SFX_UI_Click,,8,9,8,11,8,9,8,10,0,0,0,0,orders:defend,,Defend,,,#ordernum == 3,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,818,739,,SFX_UI_Click,,9,9,9,11,9,9,9,10,0,0,0,0,orders:hold,,Hold,,,#ordernum == 2,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,846,739,,,,10,9,10,11,10,9,10,10,0,0,0,0,orders:stay,,Hold to the Last,,,#ordernum == 1,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,939,739,,SFX_UI_GotoSel,,4,6,4,8,4,6,4,7,0,0,0,0,gotosel,,Go to the Selected Unit,,,,,,,,,
GUI_LVL5_DCav_Orders,GFX_BS_Buttons,995,739,,,,5,6,5,8,5,6,5,7,0,0,0,0,loadscreen:Objectives:-1,,Objectives,,,,,,,,,
GUI_LVL5_DCav,GFX_Groups,905,673,,SFX_UI_Combat,,1,0,0,0,0,0,0,0,0,0,0,0,setgroup:0,,Combat,,,#groupnum == 0,,,,,,
GUI_LVL5_DCav,GFX_Groups,905,711,,SFX_UI_Orders,,1,2,0,2,0,0,0,2,0,0,0,0,setgroup:2,,Orders,,,#groupnum == 2,,,,,,
GUI_LVL5_DCav,GFX_Status_Icons,393,656,,,,13,0,13,0,0,0,13,0,0,0,0,0,,,Follow Mode,,#followmode == 1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL5_DCav,INHERIT,GUI_LVL5_DCav,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL5_DCav,GFX_Flags,0,652,,,,0,1,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,
GUI_CS_LVL5_DCav,GFX_CS_Portraits_LVL5,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,Ability: $initcur - Command: $leadcur - Control: $loycur - Leadership: $abilcur,normalload,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL5_DCav,INHERIT,GUI_LVL5_DCav,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL5_DCav,GFX_Flags,0,652,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_US_LVL5_DCav,GFX_US_Portraits_LVL5,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,Ability: $initcur - Command: $leadcur - Control: $loycur - Leadership: $abilcur,normalload,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL4_DCav,GFX_MS_Background,343,652,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL4_DCav,GFX_MS_Buttons,521,654,,SFX_UI_Click,,-1,-1,0,0,-1,-1,0,0,0,0,0,0,loadscreen:InGameMenu,,Menu,,,,,,,,,
GUI_LVL4_DCav,GFX_MS_Buttons,549,654,,SFX_UI_Map,,-1,-1,1,0,-1,-1,1,0,0,0,0,0,loadscreen:Map,,Map,,,,,,,,,
GUI_LVL4_DCav,GFX_MS_Buttons,577,654,,SFX_UI_Messenger,,-1,-1,2,0,-1,-1,2,0,0,0,0,0,goto,,Go To Me,,,,,,,,,
GUI_LVL4_DCav,GFX_MS_Buttons,605,654,,SFX_UI_Sword,,-1,-1,3,0,-1,-1,3,0,0,0,0,0,loadscreen:OOB:-1,,Order of Battle,,,,,,,,,
GUI_LVL4_DCav,GFX_Bars,526,723,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_LVL4_DCav,GFX_Bars,526,751,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_LVL4_DCav,GFX_BS_Background,711,652,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_LVL4_DCav,GROUP,GUI_LVL4_DCav_Combat,,,SFX_UI_Combat,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL4_DCav,GROUP,GUI_LVL4_DCav_Move,,,SFX_UI_Move,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL4_DCav,GROUP,GUI_LVL4_DCav_Orders,,,SFX_UI_Orders,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL4_DCav,GFX_BS_Buttons,713,655,,,,0,15,0,17,0,15,0,16,0,0,0,0,Amoveformfwd:100:0,,Advance 100 Yards,,,,,,,,,
GUI_LVL4_DCav,GFX_BS_Buttons,738,655,,,,1,15,1,17,1,15,1,16,0,0,0,0,Amoveformfwd:300:0,,Advance 300 Yards,,,,,,,,,
GUI_LVL4_DCav,GFX_BS_Buttons,763,655,,,,2,15,2,17,2,15,2,16,0,0,0,0,Amovefwd:300:1,,Advance to Cover,,,,,,,,,
GUI_LVL4_DCav,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_LVL4_DCav,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_LVL4_DCav,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_LVL4_DCav,GFX_BS_Buttons,736,710,,SFX_UI_Click,,14,15,14,16,14,15,14,15,0,0,0,0,rankdown,,OOB Down,,,,,,,,,
GUI_LVL4_Cav,GFX_BS_Buttons,712,739,,SFX_UI_Click,,15,16,15,17,15,16,15,16,0,0,0,0,Mmoveto,,Command Map,,,,,,,,,
GUI_LVL4_Cav,GFX_BS_Buttons,737,739,,SFX_UI_Click,,7,15,7,17,7,15,7,16,0,0,0,0,camfollow,,Follow - 2 Clicks Rotate 3 Release,,,,,,,,,
GUI_LVL4_Cav,GFX_BS_Buttons,762,739,,,,6,15,6,17,6,15,6,16,0,0,0,0,Aattackmarch,,Attackmarch - Move Unengaged unless Melee,,,,,,,,,
GUI_LVL4_Cav,GFX_BS_Buttons,790,739,,,,8,15,8,17,8,15,8,16,13,0,0,0,Arun,,Gallop,,,,,,,,,
GUI_LVL4_Cav,GFX_BS_Buttons,790,739,,,,8,15,8,17,8,15,8,16,0,0,-13,0,Aform:DRIL_Lvl4_Cav_ColumnbyDivision,Arun,Column by Division - Gallop,,,,,,,,,
GUI_LVL4_DCav,GFX_BS_Buttons,846,683,,,,13,13,13,14,13,13,13,13,0,0,0,0,Atcommon,,Take Charge Subordinates,,,,,,,,,
GUI_LVL4_DCav,GFX_BS_Buttons,874,683,,,,13,15,13,16,13,15,13,15,0,0,0,0,Atcommoff,,Take Charge Subordinates Off,,,,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,790,655,,SFX_UI_WheelLeft,,18,0,18,2,18,0,18,1,13,0,0,0,wheelright:45,,Wheelright 45 Degrees,,,,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,790,655,,SFX_UI_WheelLeft,,18,0,18,2,18,0,18,1,0,0,-13,0,wheelleft:45,,Wheelleft 45 Degrees,,,,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,818,655,,SFX_UI_WheelLeft,,0,0,0,2,0,0,0,1,0,0,0,0,wheelleft,,Wheel Left,,,,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,846,655,,SFX_UI_WheelRight,,1,0,1,2,1,0,1,1,0,0,0,0,wheelright,,Wheel Right,,,,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,874,655,,,,13,0,13,2,13,0,13,1,0,0,0,0,Aforcepath,marchmusic,Use Roads,,,,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,939,655,,,,1,3,1,5,1,3,1,4,0,0,0,0,Aform:DRIL_Lvl4_Cav_DoubleLine2,,Double Line,,,#formnum == 37,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,967,655,,,,3,3,3,5,3,3,3,4,0,0,0,0,Aform:DRIL_Lvl4_Cav_Column,,Column,,,#formnum == 41,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,995,655,,,,0,3,0,5,0,3,0,4,0,0,0,0,Aform:DRIL_Lvl4_Cav_Line2,,Line,,,#formnum == 36,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,790,683,,,,11,0,11,2,11,0,11,1,0,0,0,0,Astop,,Halt,,,,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,818,683,,,,12,0,12,2,12,0,12,1,0,0,0,0,Arun,,Double Quick (Run),,,,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,939,683,,,,6,3,6,5,6,3,6,4,0,0,0,0,Aform:DRIL_Lvl4_Cav_LinewithReserves2,,Line with Reserves,,,#formnum == 38,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,939,711,,,,0,6,0,8,0,6,0,7,0,0,0,0,takecommand,,Take Charge from AI,,,#takecomm == 1,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,967,711,,SFX_UI_RiseUp,,2,6,2,8,2,6,2,7,0,0,0,0,run,,Leader Double Quick (Gallop),,#regstate != 5,,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,967,711,,SFX_UI_RiseUp,,2,6,2,8,2,6,2,7,0,0,0,0,walk,,Leader Normal Speed (Walk),,#regstate == 5,#regstate == 5,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,939,739,,SFX_UI_GotoSel,,4,6,4,8,4,6,4,7,0,0,0,0,gotosel,,Go to the Selected Unit,,,,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,967,739,,SFX_UI_RiseUp,,1,6,1,8,1,6,1,7,0,0,0,0,stop,,Leader Halt,,,#regstate == 1,,,,,,
GUI_LVL4_DCav_Combat,GFX_BS_Buttons,995,739,,,,3,6,3,8,3,6,3,7,0,0,0,0,forcepath,,Leader Use Roads,,,#useroads == 1,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,939,655,,,,9,6,9,8,9,6,9,7,0,0,0,0,attach,,Attach Division,,,#attached == 1,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,967,655,,SFX_UI_Click,,10,6,10,8,10,6,10,7,0,0,0,0,detach,,Detach Division,,,#attached == 0,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,995,655,,,,13,6,13,8,13,6,13,7,0,0,0,0,Aresupply,,Re-Supply,,,,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,939,683,,,,11,6,11,8,11,6,11,7,0,0,0,0,joinbrig,,Attach Brigade,,,,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,967,683,,SFX_UI_Click,,12,6,12,8,12,6,12,7,0,0,0,0,splitbrig:1,,Detach Brigade,,,,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,995,683,,SFX_UI_Messenger,,6,6,6,8,6,6,6,7,0,0,0,0,loadscreen:SendCourier,,Send Message,,,,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,790,711,,,,4,9,4,11,4,9,4,10,0,0,0,0,Aorders:blitz,,All out Attack,,,#ordernum == 6,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,818,711,,SFX_UI_Click,,5,9,5,11,5,9,5,10,0,0,0,0,Aorders:attack,,Attack,,,#ordernum == 5,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,846,711,,SFX_UI_Click,,6,9,6,11,6,9,6,10,0,0,0,0,Aorders:probe,,Probe,,,#ordernum == 4,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,874,711,,,,7,9,7,11,7,9,7,10,0,0,0,0,Aorders:none,,None,,,#ordernum == 0,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,939,711,,,,0,6,0,8,0,6,0,7,0,0,0,0,takecommand,,Take Charge from AI,,,#takecomm == 1,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,995,711,,SFX_UI_Messenger,,7,6,7,8,7,6,7,7,0,0,0,0,loadscreen:MessageLog,,Read Messages,,,,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,818,739,,SFX_UI_Click,,8,9,8,11,8,9,8,10,0,0,0,0,Aorders:defend,,Defend,,,#ordernum == 3,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,846,739,,SFX_UI_Click,,9,9,9,11,9,9,9,10,0,0,0,0,Aorders:hold,,Hold,,,#ordernum == 2,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,874,739,,,,10,9,10,11,10,9,10,10,0,0,0,0,Aorders:stay,,Hold to the Last,,,#ordernum == 1,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,939,739,,SFX_UI_GotoSel,,4,6,4,8,4,6,4,7,0,0,0,0,gotosel,,Go to the Selected Unit,,,,,,,,,
GUI_LVL4_DCav_Orders,GFX_BS_Buttons,995,739,,,,5,6,5,8,5,6,5,7,0,0,0,0,loadscreen:Objectives:-1,,Objectives,,,,,,,,,
GUI_LVL4_DCav,GFX_Groups,905,673,,SFX_UI_Combat,,1,0,0,0,0,0,0,0,0,0,0,0,setgroup:0,,Combat,,,#groupnum == 0,,,,,,
GUI_LVL4_DCav,GFX_Groups,905,711,,SFX_UI_Orders,,1,2,0,2,0,0,0,2,0,0,0,0,setgroup:2,,Orders,,,#groupnum == 2,,,,,,
GUI_LVL4_DCav,GFX_Status_Icons,393,656,,,,13,0,13,0,0,0,13,0,0,0,0,0,,,Follow Mode,,#followmode == 1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL4_DCav,INHERIT,GUI_LVL4_DCav,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL4_DCav,GFX_Flags,0,652,,,,0,1,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,
GUI_CS_LVL4_DCav,GFX_CS_Portraits_LVL4,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,Ability: $initcur - Command: $leadcur - Control: $loycur - Leadership: $abilcur,normalload,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL4_DCav,INHERIT,GUI_LVL4_DCav,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL4_DCav,GFX_Flags,0,652,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_US_LVL4_DCav,GFX_US_Portraits_LVL4,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,Ability: $initcur - Command: $leadcur - Control: $loycur - Leadership: $abilcur,normalload,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL6_Art,GFX_MS_Background,343,652,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL6_Art,GFX_MS_ArtyBackground,632,652,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL6_Art,GFX_MS_Buttons,521,654,,SFX_UI_Click,,-1,-1,0,0,-1,-1,0,0,0,0,0,0,loadscreen:InGameMenu,,Menu,,,,,,,,,
GUI_LVL6_Art,GFX_MS_Buttons,549,654,,SFX_UI_Map,,-1,-1,1,0,-1,-1,1,0,0,0,0,0,loadscreen:Map,,Map,,,,,,,,,
GUI_LVL6_Art,GFX_MS_Buttons,577,654,,SFX_UI_Messenger,,-1,-1,2,0,-1,-1,2,0,0,0,0,0,goto,,Go To Me,,,,,,,,,
GUI_LVL6_Art,GFX_MS_Buttons,605,654,,SFX_UI_Sword,,-1,-1,3,0,-1,-1,3,0,0,0,0,0,loadscreen:OOB:-1,,Order of Battle,,,,,,,,,
GUI_LVL6_Art,GFX_Bars,526,723,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Morale: $morale -- #moralecur,progbar:#moralemin-#moralecur-#moralemax,,,,,,,,
GUI_LVL6_Art,GFX_Bars,526,751,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Fatigue: $fatigue -- #fatiguecur,progbar:#fatiguemin-#fatiguecur-#fatiguemax,,,,,,,,
GUI_LVL6_Art,GFX_BS_Background,711,652,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,712,655,,,,14,3,14,5,14,3,14,4,0,0,0,0,moveformfwd:20:0,run,Advance 20 Yards - Move Fast,,,,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,737,655,,,,15,3,15,5,15,3,15,4,0,0,0,0,moveformfwd:50:0,run,Advance 50 Yards - Move Fast,,,,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,762,655,,,,16,3,16,5,16,3,16,4,0,0,0,0,movefwd:300:1,,Advance to Cover,,,,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,712,739,,SFX_UI_Click,,7,15,7,17,7,15,7,16,0,0,0,0,camfollow,,Follow - 2 Clicks Rotate 3 Release,,,,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,737,739,,SFX_UI_Click,,15,16,15,17,15,16,15,16,0,0,0,0,Mmoveto,,Command Map,,,,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,762,739,,SFX_UI_Click,,4,15,4,17,4,15,4,16,0,0,0,0,zoom,,Zoom,,,,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,790,655,,SFX_UI_WheelLeft,,0,0,0,2,0,0,0,1,0,0,0,0,wheelleft,,Wheel Left,,,,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,818,655,,SFX_UI_WheelRight,,1,0,1,2,1,0,1,1,0,0,0,0,wheelright,,Wheel Right,,,,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,846,655,,SFX_UI_WheelLeft,,0,12,0,14,0,12,0,13,0,0,0,0,target,,Choose Specific Target,,,,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,874,655,,,,9,12,9,14,9,12,9,13,0,0,0,0,artyfireai,,AI Chooses Target,,,#artyfire == 0,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,939,655,,,,13,0,13,2,13,0,13,1,0,0,0,0,forcepath,marchmusic,Use Roads,,,#useroads == 1,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,967,655,,,,9,6,9,8,9,6,9,7,0,0,0,0,attach,,Attach Gun,,,#attached == 1,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,995,655,,SFX_UI_Click,,10,6,10,8,10,6,10,7,0,0,0,0,detach,,Detach Gun,,,#attached == 0,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,790,683,,,,11,0,11,2,11,0,11,1,0,0,0,0,stop,,Halt,,,#regstate == 1,#regstate == 5,,,,,
,GUI_LVL6_Art,GFX_BS_Buttons,818,683,,SFX_UI_RiseUp,,12,0,12,2,12,0,12,1,0,0,0,0,run,,Double Quick (Run/Gallop),,#regstate != 5,,,,,,
,GUI_LVL6_Art,GFX_BS_Buttons,818,683,,SFX_UI_RiseUp,,12,0,12,2,12,0,12,1,0,0,0,0,walk,,Normal Speed (Walk),,#regstate == 5,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,846,683,,,,1,12,1,14,1,12,1,13,0,0,0,0,artyfiretroops,,Target Infantry,,,#artyfire == 1,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,874,683,,,,10,12,10,14,10,12,10,13,0,0,0,0,artyfirearty,,Target Artillery,,,#artyfire == 2,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,939,683,,,,15,0,15,2,15,0,15,1,0,0,0,0,limber,,Unlimber the Gun,,,#artylimber > 1,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,967,683,,,,14,0,14,2,14,0,14,1,0,0,0,0,limber,,Limber the Gun,,,#artylimber < 2,,,,,,
GUI_LVL6_Art,GFX_BS_Buttons,995,683,,,,13,6,13,8,13,6,13,7,0,0,0,0,resupply,,Re-Supply,,,,,,,,,
